id,won,time,strategies
24,False,0.07461166381835938,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccccccssssssssssssssssssssssssssssssssssssssccccssssssccccrrrr
25,False,0.02051067352294922,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccccccssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccr
26,False,0.009981393814086914,ssssrrr
27,False,0.04055976867675781,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccccccsssssssssssssssssssssssssssccsrssssr
28,False,0.04633736610412598,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccccssssssssssssssssscsssssssssssssssssssssssssr
29,True,0.034136295318603516,sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccccccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccsssssssss
30,True,0.051470041275024414,cccssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccccccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccsssssssssssssssssssssssssccccccssssssss
31,False,0.15786170959472656,ssssssssssssssscccccccsssssssssscccrrrrssccrrr
32,False,0.12761807441711426,rsssssssssccccccsssssssssssssssssccrrrrrrrr
33,False,0.05261635780334473,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccccsssssscccccccccccsssssrr
34,False,0.0638132095336914,ssssssssssssssssssssssccccccccssssssssssssssccccccccccrssssssssssssssssssssssssssssssssssssccccssssssssssssssssssssssssssssssssssssssssssssssssssscccccsssssssssssssssssssssssssssssssssrrr
35,False,0.057418107986450195,ssssssccccccccssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccccsssssssssssscccsssssssssssscrr
